callsign,ncdcid,wban,name,country,st,county,lat,lon,elev,utc,stntype,tz
KICT,30001864.0,3928.0,WICHITA,UNITED STATES,KS,SEDGWICK,37.654444,-97.443056,1400.0,-6.0,NEXRAD,America/Chicago
KICX,30001865.0,53118.0,CEDAR CITY,UNITED STATES,UT,IRON,37.59105,-112.86218000000001,10757.0,-7.0,NEXRAD,America/Denver
KILN,30001866.0,13841.0,CINCINNATI,UNITED STATES,OH,CLINTON,39.420483000000004,-83.82145,1170.0,-5.0,NEXRAD,America/New_York
KILX,30001867.0,4833.0,LINCOLN,UNITED STATES,IL,LOGAN,40.1505,-89.336792,731.0,-6.0,NEXRAD,America/Chicago
KIND,30001868.0,93819.0,INDIANAPOLIS,UNITED STATES,IN,MARION,39.7075,-86.28027800000001,887.0,-5.0,NEXRAD,America/Indiana/Indianapolis
KINX,30001869.0,3984.0,TULSA,UNITED STATES,OK,ROGERS,36.175131,-95.564161,749.0,-6.0,NEXRAD,America/Chicago
KIWA,30001870.0,23104.0,PHOENIX,UNITED STATES,AZ,MARICOPA,33.289233,-111.66991000000002,1426.0,-7.0,NEXRAD,America/Phoenix
KIWX,30001871.0,4844.0,FORT WAYNE,UNITED STATES,IN,KOSCIUSKO,41.358610999999996,-85.7,1056.0,-5.0,NEXRAD,America/Indiana/Indianapolis
KJAX,30001872.0,13889.0,JACKSONVILLE,UNITED STATES,FL,DUVAL,30.484633000000002,-81.7019,160.0,-5.0,NEXRAD,America/New_York
KJGX,30001873.0,53824.0,ROBINS AFB,UNITED STATES,GA,TWIGGS,32.675683,-83.350833,618.0,-5.0,NEXRAD,America/New_York
KJKL,30001874.0,3889.0,JACKSON,UNITED STATES,KY,BREATHITT,37.590833,-83.313056,1461.0,-5.0,NEXRAD,America/New_York
KLBB,30001875.0,23042.0,LUBBOCK,UNITED STATES,TX,LUBBOCK,33.654139,-101.81416,3378.0,-6.0,NEXRAD,America/Chicago
KLCH,30001876.0,3937.0,LAKE CHARLES,UNITED STATES,LA,CALCASIEU,30.125306,-93.215889,137.0,-6.0,NEXRAD,America/Chicago
KLGX,30078818.0,,LANGLEY HILL NW WASHINGTON,UNITED STATES,WA,GRAYS HARBOR,47.116944000000004,-124.10666,366.0,-8.0,NEXRAD,America/Los_Angeles
KLIX,30001877.0,53813.0,NEW ORLEANS,UNITED STATES,LA,ST. TAMMANY,30.336667,-89.825417,179.0,-6.0,NEXRAD,America/Chicago
KLNX,30001878.0,94049.0,NORTH PLATTE,UNITED STATES,NE,LOGAN,41.957944,-100.57621999999999,3113.0,-6.0,NEXRAD,America/Chicago
KLOT,30001879.0,4831.0,CHICAGO,UNITED STATES,IL,WILL,41.604444,-88.08444399999999,760.0,-6.0,NEXRAD,America/Chicago
KLRX,30001880.0,4108.0,ELKO,UNITED STATES,NV,LANDER,40.73955,-116.8027,6895.0,-8.0,NEXRAD,America/Los_Angeles
KLSX,30001881.0,3982.0,ST LOUIS,UNITED STATES,MO,ST. CHARLES,38.698611,-90.682778,722.0,-6.0,NEXRAD,America/Chicago
KLTX,30001882.0,93774.0,WILMINGTON,UNITED STATES,NC,BRUNSWICK,33.98915,-78.429108,145.0,-5.0,NEXRAD,America/New_York
KLVX,30001883.0,53827.0,LOUISVILLE,UNITED STATES,KY,HARDIN,37.975278,-85.943889,833.0,-5.0,NEXRAD,America/New_York
KLWX,30001884.0,93767.0,STERLING,UNITED STATES,VA,LOUDOUN,38.976110999999996,-77.4875,404.0,-5.0,NEXRAD,America/New_York
KLZK,30001885.0,3952.0,LITTLE ROCK,UNITED STATES,AR,PULASKI,34.8365,-92.262194,649.0,-6.0,NEXRAD,America/Chicago
KMAF,30001886.0,23023.0,MIDLAND ODESSA,UNITED STATES,TX,MIDLAND,31.943461,-102.18925,2962.0,-6.0,NEXRAD,America/Chicago
KMAX,30001887.0,94296.0,MEDFORD,UNITED STATES,OR,JACKSON,42.081169,-122.71736000000001,7561.0,-8.0,NEXRAD,America/Los_Angeles
KMBX,30001888.0,94048.0,MINOT AFB,UNITED STATES,ND,MCHENRY,48.393056,-100.86444,1590.0,-6.0,NEXRAD,America/Chicago
KMHX,30001889.0,93768.0,MOREHEAD CITY,UNITED STATES,NC,CARTERET,34.775908,-76.876189,145.0,-5.0,NEXRAD,America/New_York
KMKX,30001890.0,4834.0,MILWAUKEE,UNITED STATES,WI,WAUKESHA,42.9679,-88.550667,1023.0,-6.0,NEXRAD,America/Chicago
KMLB,30001891.0,12838.0,MELBOURNE,UNITED STATES,FL,BREVARD,28.113194,-80.654083,149.0,-5.0,NEXRAD,America/New_York
KMOB,30001892.0,13894.0,MOBILE,UNITED STATES,AL,MOBILE,30.679444,-88.24,289.0,-6.0,NEXRAD,America/Chicago
KMPX,30001893.0,94983.0,MINNEAPOLIS,UNITED STATES,MN,CARVER,44.848889,-93.565528,1101.0,-6.0,NEXRAD,America/Chicago
KMQT,30001894.0,94850.0,MARQUETTE,UNITED STATES,MI,MARQUETTE,46.531110999999996,-87.548333,1525.0,-5.0,NEXRAD,America/Detroit
KMRX,30001895.0,53832.0,KNOXVILLE,UNITED STATES,TN,HAMBLEN,36.168611,-83.401944,1434.0,-5.0,NEXRAD,America/New_York
KMSX,30001896.0,4103.0,MISSOULA,UNITED STATES,MT,MISSOULA,47.041000000000004,-113.98621999999999,7978.0,-7.0,NEXRAD,America/Denver
KMTX,30001897.0,4104.0,SALT LAKE CITY,UNITED STATES,UT,SALT LAKE,41.262778000000004,-112.44776999999999,6594.0,-7.0,NEXRAD,America/Denver
KMUX,30001898.0,93236.0,SAN FRANCISCO,UNITED STATES,CA,SANTA CLARA,37.155221999999995,-121.89844,3550.0,-8.0,NEXRAD,America/Los_Angeles
KMVX,30001899.0,94986.0,GRAND FORKS,UNITED STATES,ND,TRAILL,47.527778000000005,-97.325556,1083.0,-6.0,NEXRAD,America/Chicago
KMXX,30001900.0,53826.0,MAXWELL AFB,UNITED STATES,AL,TALLAPOOSA,32.53665,-85.78975,560.0,-6.0,NEXRAD,America/Chicago
KNKX,30001901.0,53115.0,SAN DIEGO,UNITED STATES,CA,SAN DIEGO,32.919017,-117.0418,1052.0,-8.0,NEXRAD,America/Los_Angeles
KNQA,30001902.0,93839.0,MEMPHIS,UNITED STATES,TN,SHELBY,35.344722,-89.873333,435.0,-6.0,NEXRAD,America/Chicago
KOAX,30001903.0,94980.0,OMAHA,UNITED STATES,NE,DOUGLAS,41.320369,-96.36681899999999,1262.0,-6.0,NEXRAD,America/Chicago
KOHX,30001904.0,53833.0,NASHVILLE,UNITED STATES,TN,WILSON,36.247222,-86.5625,676.0,-5.0,NEXRAD,America/Chicago
KOKX,30001905.0,94703.0,NEW YORK CITY,UNITED STATES,NY,SUFFOLK,40.865528000000005,-72.863917,199.0,-5.0,NEXRAD,America/New_York
KOTX,30001906.0,4106.0,SPOKANE,UNITED STATES,WA,SPOKANE,47.680417,-117.62677,2449.0,-8.0,NEXRAD,America/Los_Angeles
KPAH,30001907.0,3816.0,PADUCAH,UNITED STATES,KY,MCCRACKEN,37.068333,-88.77194399999999,506.0,-6.0,NEXRAD,America/Chicago
KPBZ,30001908.0,4832.0,PITTSBURGH,UNITED STATES,PA,ALLEGHENY,40.531717,-80.217967,1266.0,-5.0,NEXRAD,America/New_York
KPDT,30001909.0,24155.0,PENDLETON,UNITED STATES,OR,UMATILLA,45.69065,-118.85293,1580.0,-8.0,NEXRAD,America/Los_Angeles
KPOE,30001910.0,3993.0,FORT POLK,UNITED STATES,LA,VERNON,31.155278000000003,-92.976111,473.0,-6.0,NEXRAD,America/Chicago
KPUX,30001911.0,3021.0,PUEBLO,UNITED STATES,CO,PUEBLO,38.45955,-104.18135,5363.0,-7.0,NEXRAD,America/Denver
KRAX,30001912.0,93772.0,RALEIGH DURHAM,UNITED STATES,NC,WAKE,35.665519,-78.48975,462.0,-5.0,NEXRAD,America/New_York
KRGX,30001913.0,53104.0,RENO,UNITED STATES,NV,WASHOE,39.754056,-119.46202,8396.0,-8.0,NEXRAD,America/Los_Angeles
KRIW,30001914.0,24061.0,RIVERTON,UNITED STATES,WY,FREMONT,43.066089,-108.4773,5633.0,-7.0,NEXRAD,America/Denver
KRLX,30001915.0,53834.0,CHARLESTON,UNITED STATES,WV,KANAWHA,38.311111,-81.722778,1213.0,-5.0,NEXRAD,America/New_York
KRTX,30001916.0,94288.0,PORTLAND,UNITED STATES,OR,WASHINGTON,45.715039000000004,-122.965,1728.0,-8.0,NEXRAD,America/Los_Angeles
